,Unnamed: 0,L4_48hAPF,L4_60hAPF,L5_48hAPF,L5_60hAPF,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,L4_72hAPF,L5_72hAPF
1695,fabp,0.379458318,1.041906337,4.8939253,2.437799139,,,,,0.618078408,0.543025526
1696,CG31221,0.286170116,0.052328427,5.77930172,8.993892202,,,,,0.022309477,2.810126176
1746,Octbeta1R,0.752680253,0.156326636,3.415424515,3.763826545,,,,,0.06327379,13.96958775
1751,CG14669,0.444009288,0.180503328,5.709570886,8.144778767,,,,,0.065907782,4.715441514
1765,sdk,0.899358663,0.105141132,5.588901435,3.051891715,,,,,0.200312938,1.861387522
1867,Shawl,0.133226946,0.040835728,3.696237453,0.754891473,,,,,0.093155113,0.410600611
1870,side-V,1.586079428,0.211477383,14.01927573,6.575841013,,,,,0.180783579,3.790930903
1882,NaCP60E,1.291723268,0.923239335,6.268823473,7.623852046,,,,,1.010928071,5.969096338
1886,sif,0.4777945,1.036570032,5.715849683,4.8532343,,,,,0.778544027,7.2741789
1960,OtopLc,0.927790098,1.399693083,3.630049097,3.013802101,,,,,1.125076181,2.502150991
1970,side-II,0.129100481,0.308522897,7.560559646,9.240953422,,,,,0.085159437,8.774098193
2002,kuz,1.488727404,0.997368698,4.699720117,2.82308922,,,,,1.161554686,3.598865462
2013,CG42540,0.499339733,0.265320069,3.222731476,3.274833771,,,,,0.51895039,1.832096984
2041,Dscam3,0.045041051,0.050818774,5.765223829,1.577472342,,,,,0.0,1.61974558
2068,haf,0.019885618,0.035031435,1.710272385,3.579685347,,,,,0.0,1.277974316
2075,CG42673,0.366130007,0.334139221,4.194145369,3.871835627,,,,,0.209023139,3.407181651
2082,pdm3,0.112419371,0.235684582,15.15275474,9.783718453,,,,,0.043577425,7.725603724
2095,tinc,1.291198776,0.154067564,5.348383838,2.795894724,,,,,0.070969518,1.786328119
2114,CG42750,0.052657555,0.056958321,4.516398289,2.600005801,,,,,1.96923195,7.443164413
2122,sdt,1.546672749,0.594951864,7.817885361,5.548162121,,,,,0.396031421,4.897889
2166,Nuak1,1.580278631,0.439457129,4.565288938,0.759721297,,,,,0.77333475,1.675765534
2207,Hk,0.968335649,0.943874957,6.733237856,8.217796653,,,,,0.797302961,7.020265412
2213,scrib,0.301009707,0.415107887,1.502536604,3.80221933,,,,,0.176263096,3.040298518
2266,tsr,0.993561063,1.1148952,4.185954469,2.49271694,,,,,1.61579388,1.176132935
2311,dpr20,0.068884643,0.094747424,2.628284617,5.462396627,,,,,0.070272312,2.620774311
2347,GluRIB,0.254844408,0.900653566,22.44199072,5.204683504,,,,,0.485059223,5.498957062
2372,CG43902,0.483730371,1.040168827,3.305422391,44.56089309,,,,,0.657832856,66.70301652
2401,CG44242,1.599186721,1.846433696,2.097676171,4.370777768,,,,,2.522465093,4.768081367
2407,Dscam2,1.379027281,0.745057527,21.89669563,21.59755889,,,,,0.386006879,17.15390582
2417,CG44422,1.517389035,1.088235353,2.640706882,3.10076796,,,,,1.024676117,2.497233978
2469,lncRNA:CR45312,0.07464206,0.090119935,2.44089163,4.032983324,,,,,0.084780657,5.143671198
2622,Scsalpha1,1.688448433,1.8322136,2.019166815,3.391761089,,,,,3.15336239,4.604518961
2639,Rop,1.746869799,1.942575119,2.075498426,3.176134139,,,,,2.771161908,3.686918742
2652,Con,0.089870787,0.674834735,7.514526302,9.056419669,,,,,0.249323221,3.410547041
2680,Hsc70-3,1.49273012,1.752786629,4.186174829,1.911728715,,,,,1.956898776,1.362898109
2716,dpr8,0.222603475,0.286567366,16.39684344,5.17980327,,,,,0.220961081,4.678907881
2722,eag,0.157501804,0.106435715,16.42705615,13.87213622,,,,,0.020512821,7.122117479
2803,ND-18,1.809085719,1.452055387,2.427596813,3.860837451,,,,,2.201423783,3.822893657
2886,Nrt,1.989614867,1.295496669,4.637233423,0.77307116,,,,,0.500642861,0.705753569
2936,CG17839,0.62473333,0.187514262,7.523644709,0.253792382,,,,,0.290813577,0.101354623
2940,fz,0.178159073,0.148455571,14.95163253,10.70784252,,,,,0.08265024,3.060676683
2941,CG32137,0.096195542,0.058036219,6.304108487,1.930102382,,,,,0.038357544,0.879727448
2970,Rh7,0.20878938,0.225734225,4.544846729,4.878854268,,,,,0.102530292,3.816447957
2988,Sod1,0.756358321,1.756221166,1.521045856,3.237515794,,,,,4.119513157,5.262777543
3001,CG32052,0.335415434,0.103162641,16.60326036,6.16849125,,,,,0.100158971,2.332211513
3004,dpr6,0.170296987,0.484537403,6.116763966,7.770730416,,,,,0.566316388,3.169909567
3028,Hsp67Ba,1.933454378,1.388967281,5.079862233,1.135239065,,,,,0.473355439,0.491580391
3081,axed,1.462550163,1.602824607,0.631219964,3.437807719,,,,,1.536003789,2.740358003
3082,GluRIA,0.015936103,0.121346532,6.182476159,1.806385928,,,,,0.152976155,1.651215654
3189,robo2,0.008899917,0.0,3.133201141,1.882713715,,,,,0.02708559,1.555210237
